sentence_id	sentence	sentence_translation	label
MIS_1585-eurl_02_015	ويعدّ حزب الله لاعبا رئيسيا والطرف السياسي الأقوى في لبنان، وشكّل موضوع نزع سلاحه عنوانا خلافيا بين القوى السياسية.	Hezbollah is considered a major player and the strongest political party in Lebanon, and the issue of its disarmament has been a controversial topic among the political forces.	label_value
MIS_6-eurl_03_003	ونال التيفو إشادة كبيرة من مختلف وسائل الإعلام العربية والعالمية، خصوصا في ظل حرص القائمين عليه من جماهير الاتحاد على إيصاله بأكثر من لغة عالمية ليصل صداه لأكبر شريحة ممكنة حول العالم.	TiVo received great praise from various Arab and international media outlets, especially in light of the keenness of those in charge of it from the Al-Ittihad fans to communicate it in more than one international language so that it resonates to the largest possible segment around the world.	label_value
MIS_774-curl_02_006	ولجأ المواطنون في اليابان إلى العمل من المنازل في ظل الإغلاق التام؛ بعد إقفال المدارس وكثير من الشركات أبوابها.	Citizens in Japan resorted to working from home in light of the complete closure. After schools were closed and many businesses closed.	label_value
AFP_587-curl_03_010	صورة هذا الصباح لنفق الرويسو الجزائر العاصمة.	This morning's photo of the Ruiso Tunnel in Algiers.	label_value
AFP_588-eurl_01_002	تلقى اللواء طارق حسونة مدير أمن الغربية، إخطارا من اللواء السعيد شكرى مدير المباحث الجنائية، بضبط متسول بعد افتراشه منتصف الطريق السريع بزفتى، وعثر بحوزته على 500 جنيه وتم اتخاذ الإجراءات القانونية حياله.	Major General Tariq Hassouna, Director of Gharbia Security, received a notification from Major General Al-Saeed Shukri, Director of Criminal Investigation, that a beggar had been arrested after sleeping in the middle of the highway in Zefta. 500 pounds were found in his possession, and legal measures were taken against him.	label_value
AFP_696-eurl_03_023	ويؤكد أبو ناجي بكل فخر بأن دار النشر تمكنت منذ عام 2011 من توزيع أكثر من 1.6 مليون نسخة من القران باللغة الألمانية في ألمانيا وحدها، وتم تمويلها من التبرعات.	Abu Naji proudly confirms that the publishing house has been able to distribute more than 1.6 million copies of the Qur’an in German in Germany alone since 2011, and was funded by donations.	label_value
MIS_702-curl_06_006	قد تكون خطرة على الوجود ككل.	It may be dangerous to existence as a whole.	label_value
MIS_702-curl_02_015	وإن أكثرها شيوعاً اليوم هو الاحترار الذي يسببه الإنسان، أي انبعاثات الغازات الدفيئة».	The most common one today is human-caused warming, that is, greenhouse gas emissions.”	label_value
MIS_2120-curl_04_013	ويشتبه بأن إسرائيل ردت بعدها بأسبوعين بشن هجوم إلكتروني على ميناء إيراني.	It is suspected that Israel responded two weeks later by launching a cyber attack on an Iranian port.	label_value
FAT_1062-eurl_02_001	"عرضت الدكتورة هالة زايد، وزيرة الصحة والسكان، مستجدات استخدام بلازما المتعافين لعلاج الحالات الحرجة وشديدة الخطورة من مصابي ""كوفيد 19"" على الاجتماع الأسبوعي لمجلس الوزراء اليوم برئاسة الدكتور مصطفى مدبولي، رئيس مجلس الوزراء."	“Dr. Hala Zayed, Minister of Health and Population, presented developments on the use of convalescent plasma to treat critical and high-risk cases of Covid-19 patients at the weekly Cabinet meeting today, headed by Dr. Mostafa Madbouly, Prime Minister.”	label_value
FAT_1352-curl_03_001	نشبَّ حريق هائل بسيارة نقل ثقيل بمقطورة بالطريق الدائرى الإقليمى بالعاشر من رمضان، بمحافظة الشرقية.	A massive fire broke out in a heavy truck with a trailer on the regional ring road in 10th of Ramadan, Sharkia Governorate.	label_value
MIS_2585-eurl_01_011	- عند مشاهدتك عرض إجراءات الطوارئ انتبه جيدا واسأل أفراد الطاقم أو المضيفين إذا كان هناك شيء غير واضح، واستفسر منهم عن مكان أقرب مخرج طوارئ من كرسيك.	- When watching the emergency procedures show, pay close attention and ask the crew members or flight attendants if there is anything unclear, and ask them about the location of the emergency exit closest to your chair.	label_value
FAT_1131-eurl_04_005	وتابع رئيس شركة أنابيب البترول، أن سيارات قطاع البترول والحماية المدنية والقوات المسلحة قامت بعمليات الإطفاء والسيطرة والتبريد، لافتا أنهم الآن في المراحل الاخيرة للتبريد، مضيفا أنه فور الحصول على السماح من الجهات سيتم إصلاح الخط.	The head of the Petroleum Pipeline Company continued that vehicles from the petroleum sector, civil protection and armed forces carried out firefighting, control and cooling operations, pointing out that they are now in the final stages of cooling, adding that as soon as permission is obtained from the authorities, the line will be repaired.	label_value
MIS_1466-eurl_04_009	وفي اليوم الثالث، اقتحموا المنزل مجددا واعتقلوا زوجي واقتادوه للتحقيق وسلموه أمرا بالإبعاد عن مدينة القدس بشكل نهائي.	On the third day, they stormed the house again, arrested my husband, took him for investigation, and handed him a permanent deportation order from the city of Jerusalem.	label_value
FAT_108-eurl_02_003	وانقطعت امدادات الماء والكهرباء وخطوط الهاتف وتضرر مئات الالاف من السكان، ويقول شهود عيان إن الناس تسير فى الشوارع هائمة على وجهها، بعضهم فى حالة ذهول وآخرون يبكون نتيجة الدمار الذي لحق بمنازلهم.	Water, electricity, and telephone lines were cut off, and hundreds of thousands of residents were affected. Eyewitnesses say that people are walking in the streets wandering, some of them in a state of shock and others crying as a result of the destruction of their homes.	label_value
MIS_403-curl_07_003	وناشد الأهالى بالإبلاغ عن القادمين من خارج سوريا عبر منافذ غير شرعية إلى المحافظة، لإجراء الفحوصات اللازمة حرصا على سلامتهم وسلامة جميع المواطنين.	He appealed to the people to report those coming from outside Syria through illegal crossings into the governorate, to conduct the necessary checks in order to ensure their safety and the safety of all citizens.	label_value
MIS_973-curl_02_008	"وقال المتحدث باسم حملة ترامب، تيم مورتو إن ""المثلث الأحمر المقلوب رمز تستخدمه أنتيفا، لذا كان موجوداً فى إعلان عن أنتيفا، وهى الحركة التى يسعى ترامب لتصنيفها على قوائم الإرهاب."	Trump campaign spokesman Tim Murtaugh said, “The inverted red triangle is a symbol used by Antifa, so it was present in an ad about Antifa, the movement that Trump is seeking to designate on terrorism lists.”	label_value
MIS_774-curl_02_011	وستشمل الإعانات نصف تكلفة تذكرة الطائرة، بالإضافة إلى ليلة في الفندق ورسوم دخول للمواقع السياحية.	The subsidies will include half the cost of the plane ticket, in addition to a night in the hotel and entry fees to tourist sites.	label_value
MIS_1869-curl_06_062	بروست ع كيفك بيرزيت : ازكا بروست فيكي يا بلد جربونا مره ورح تزورونا كل مره	Broast, how are you? Birzeit: Azka Broast, you are welcome, country. Try us once and you will visit us every time.	label_value
MIS_561-curl_02_007	فيما جاءت إيران في المرتبة 173.	While Iran ranked 173.	label_value
AFP_696-eurl_03_026	"، ولا توجد علاقات تربط بين كل السلفيين ودار النشر ""اقرأ""."	There are no relations between all Salafis and the “Iqraa” publishing house.	label_value
MIS_560-curl_04_014	المعجزات تتحدث عنها المعاهد الدولية والإقليمية.	Miracles are spoken about by international and regional institutes.	label_value
MIS_876-curl_02_001	خلفت الصورة التي إلتقطها صحفي امريكي من جريدة نيويورك تايمز يدعى مايكل مولنر بكاميرا بعيدة المدى لاوباما وهو يغادر من الطائرة لتداولتها وسائل الاعلام جدلا كبيرا داخل أوساط المهتمين بعدما تم التركيز على الكتاب الذي كان بيد الرئيس الأمريكي.	The photo taken by an American journalist from the New York Times called Michael Molner with a long-range camera of Obama leaving the plane and circulated by the media caused great controversy among those interested after the focus was on the book that was in the hand of the American president.	label_value
AFP_427-curl_02_020	"وتوجه رسالة للعالم تدعوه إلى عدم الاستسلام للخوف""."	“It sends a message to the world calling on it not to give in to fear.”	label_value
MIS_641-curl_09_001	"وجه الدكتور محمود الجرايحى مدير مستشفى الحميات ببورسعيد المختص بفحص الحالات المشتبه فى إصابتها بفيروس كورونا المستجد، رسالة للمواطنين في بورسعيد، بضرورة التواجد بالمنزل والخروج للضرورة فقط، واتخاذ الإجراءات الاحترازية والوقائية ولكن من خلال قصة ساخرة استعرضها على صفحته بـ ""الفيس بوك""، بعنوان ""خليك فى البيت يا دانيال اعمل معروف""."	“Dr. Mahmoud Al-Jarayhi, Director of the Fever Hospital in Port Said, who specializes in examining cases suspected of being infected with the new Corona virus, sent a message to the citizens of Port Said, regarding the necessity of being at home and going out only when necessary, and taking precautionary and preventive measures, but through a sarcastic story that he reviewed on his page on “Facebook.” , titled “Stay home, Daniel, do me a favor.”	label_value
MIS_876-curl_02_005	المؤلف اسمه فريد رفيق زكريا ولد فاطمة زكريا وهو رجل مسلم من الهند يعمل محررا في النيوزويك، ويقول أحد المواقع بأن الكتاب هو عبارة عن رؤية مسلمة لعالم ما بعد امريكا.	The author's name is Fareed Rafiq Zakaria, son of Fatima Zakaria, and he is a Muslim man from India who works as an editor at Newsweek. One website says that the book is a Muslim vision of the post-American world.	label_value
AFP_345-eurl_01_013	"وأوضح الوزير أن ""5 ملايين كمامة نفذت في البداية خلال ساعة ونصف بسبب الإفراط في اقتنائها بغرض تخزينها، لكن وتيرة الشراء صارت أكثر عقلانية عندما لاحظ المواطنون أنها متوفرة بما يكفي""."	The minister explained that “5 million masks were initially sold out within an hour and a half due to excessive acquisition of them for the purpose of storing them, but the pace of purchase became more rational when citizens noticed that they were sufficiently available.”	label_value
FAT_1074-eurl_03_001	"استغلت إحدى الصفحات المجهولة على موقع التواصل الاجتماعى ""فيس بوك"" لوجو ""اليوم السابع""، لنشر أخبار مزيفة ومفبركة عن الدكتور على عبد العال، رئيس مجلس النواب ليس لها أى أساس من الصحة، حيث قامت بنشر صورة مزعومة لرئيس البرلمان وادعت أن"" مصر كانت في طريقها لاكتشاف علاج لفيروس كورونا لولا أزمة كورونا""."	“One of the anonymous pages on the social networking site “Facebook” took advantage of the “Youm 7” logo to publish false and fabricated news about Dr. Ali Abdel-Al, Speaker of the House of Representatives, which has no basis in truth, as it published an alleged picture of the Speaker of Parliament. She claimed that “Egypt would have been on its way to discovering a cure for the Corona virus had it not been for the Corona crisis.”	label_value
AFP_556-eurl_01_007	الإمام الأكبر يصل كازاخستان في مستهل جولته الخارجية	The Grand Imam arrives in Kazakhstan at the beginning of his foreign tour	label_value
MIS_239-curl_04_028	"وتخضع المصابة حاليا للحجر الصحي بإحدى مستشفيات الدار البيضاء (شمال)، حيث سيتم التكفل بها وفقا للإجراءات الصحية المعتمدة"" وفق البيان."	“The infected person is currently undergoing quarantine in a hospital in Casablanca (north), where she will be cared for in accordance with approved health procedures,” according to the statement.	label_value
MIS_1027-eurl_01_038	■ وهل هناك قرارات قد يُصدرها مجلس الأمن تضمن عدم التأثير على حصة مصر المائية فى نهر النيل؟	■ Are there decisions that the Security Council might issue that guarantee not affecting Egypt’s water share in the Nile River?	label_value
MIS_855-eurl_01_037	ومن اللافت للنظر أن ما حدث في الأزمة من استغلال للذباب الإلكتروني ومن اختراقات سبرانية تقف وراءها دول الأزمة وجد مكانه في الصفحات الأولى من الإعلام العالمي، إذ إنها تداخلت مع عدد من الملفات السياسية في تلك الدول.	It is noteworthy that what happened in the crisis, in terms of exploitation of electronic flies and cyber penetrations behind which the crisis countries were behind, found its place on the front pages of the international media, as it overlapped with a number of political files in those countries.	label_value
MIS_2043-eurl_02_020	أطاح رفض الفرنسيين لمشروع الدستور الموحد بآمال السياسيين من أجل خلق أوروبا تتحدث بصوت واحد، ولها حضور قوي على الساحة الدولية.	The French rejection of the draft unified constitution dashed the hopes of politicians to create a Europe that speaks with one voice and has a strong presence on the international scene.	label_value
MIS_1046-curl_02_005	وأشارت مصادر ليبية إلى جهود تقودها الولايات المتحدة الأمريكية وعدد من الدول المعنية بالاستقرار في ليبيا لإعادة استئناف النفط مقابل حل الميليشيات المسلحة وتطبيق مبدأ الشفافية على كافة مصروفات الدولة الليبية وتحجيم دور محافظ مصرف ليبيا المركزى في طرابلس – انتهت ولايته قانونيا – الصديق الكبير.	Libyan sources pointed to efforts led by the United States of America and a number of countries concerned with stability in Libya to resume oil production in exchange for dissolving the armed militias, applying the principle of transparency to all Libyan state expenditures, and limiting the role of the Governor of the Central Bank of Libya in Tripoli - whose term has legally expired - Al-Siddiq Al-Kabir.	label_value
MIS_239-curl_04_011	اربع اصابات بفيروس كورونا في أحد فنادق بيت جالا.	Four cases of Coronavirus in a Beit Jala hotel.	label_value
FAT_471-eurl_05_001	الدكتور سامي الخيمي واللواء بهجت سليمان سفيران للأسد في حرب لفظية طاحنة.	Dr. Sami Al-Khaimi and Major General Bahjat Suleiman are ambassadors for Assad in a fierce verbal war.	label_value
AFP_907-eurl_01_004	وكان التليفزيون الصيني الرسمي أفاد بأن المسؤولين أجروا «مسحات شرجية» لمواطني الدولة ممن ظهرت لديهم حالات إصابة مؤكدة بفيروس كورونا في بكين الأسبوع الماضي، وبحسب تصريحات التليفزيون الصيني خضع المصابون في مرافق الحجر الصحي المخصصة للاختبارات نفسها.	Chinese state television reported that officials conducted “anal swabs” on citizens of the country who had confirmed cases of coronavirus infection in Beijing last week, and according to Chinese television statements, those infected in designated quarantine facilities underwent the same tests.	label_value
AFP_916-eurl_01_001	كرم الرئيس عبد الفتاح السيسي، الأمهات المثاليات على مستوى الجمهورية فى احتفالية المرأة المصرية.	President Abdel Fattah El-Sisi honored exemplary mothers nationwide in the Egyptian Women’s Celebration.	label_value
MIS_855-eurl_01_041	- تبقى المساعي قائمة وإن جد جديد في الأمر فسيتم إعلانه في حينه.	Efforts remain ongoing, and if there is anything new in the matter, it will be announced at the appropriate time.	label_value
