sentence_id	sentence	label
MIS_702-curl_06_010	Temperatures then dropped by as much as 2 degrees Celsius (35.6 degrees Fahrenheit) over 20 years, devastating the world's food production.	OBJ
AFP_29-eurl_02_019	“Oxfam”, with its French branch, and the “Notre Affaires a Tous” association intend to follow suit, in the context of the first judicial action of this size taken in France regarding climate.	OBJ
MIS_1486-eurl_02_009	The Netherlands team surpassed its Senegalese counterpart by a clean double. The Netherlands team surpassed its Senegal counterpart (2-0) for the first group of the FIFA World Cup Qatar 2022™ competitions on the grounds of Al Thumama Stadium on Monday.	OBJ
AFP_345-eurl_01_015	“We will first meet the needs of our citizens and then the needs of all our friends to the best of our ability,” the minister said.	OBJ
AFP_674-eurl_03_011	Then he was arrested again in 1979, remained in prison for a year, and then was released.	OBJ
MIS_239-curl_05_005	He explained that the isolation area at the Rafah crossing and other facilities related to this issue were reviewed, to assess their readiness, to protect the Palestinian people and prevent this virus from reaching Palestine, pointing out that there are 5 citizens in the isolation area for those coming to the Gaza Strip through the Rafah crossing.	OBJ
AFP_584-eurl_02_022	In recent months, Amnesty International has repeatedly denounced the arbitrary and massive arrests of political opponents of the Sisi regime.	OBJ
MIS_2120-curl_04_003	He said that the accounts were removed from the social network.	OBJ
MIS_239-curl_04_034	He continued, “The World Health Organization has been informed, and preventive measures and procedures have been taken regarding the case in cooperation with it.”	OBJ
AFP_887-eurl_01_019	The security spokesman at the Ministry of Interior said that security investigations are still underway to verify the relationship of the cell that planned to try to target the worshipers at the Dammam Mosque, with the cell that targeted the worshipers at the Al-Qudaih Mosque, stressing that terrorist organizations lure young people, as a result of the weakness of the legitimate information they possess, and thus they become tools. To carry out their terrorist plans.	OBJ
AFP_614-eurl_08_014	Nafaa also criticized the iron fist with which Sisi is leading the country.	OBJ
MIS_561-curl_02_013	“Israel ranked 88th on the list, while Prime Minister Benjamin Netanyahu and his supporters continued to attack news organizations and accuse them of broadcasting false news and leftist propaganda, to the point that one of the Israeli journalists who revealed the story of the corruption scandal was forced to request a bodyguard to protect him and maintain his safety, and to always speak out.” For a report by “Reporters Without Borders.”	OBJ
AFP_637-eurl_01_007	"The martyr’s mother added to “Al-Watan”: “On the day of the funeral, one of the women stood next to me and said to me: You don’t know me, but I know the martyr. I used to prepare brides for orphans, and Khalid, may God have mercy on him, used to come every month and give me a large amount to pay for something I need.” Their device, and one time I asked him to help an elderly woman whose children had left her and no one was asking about her. He took her address and went to her and said to her: “Mother, consider me your son, and from today you are responsible for me, and every vacation he took, he would bring her her monthly needs of food, clothing, and treatment.” """	OBJ
AFP_425-eurl_04_011	The Queen's speech in exceptional circumstances is the first since her mother's death in 2002.	OBJ
MIS_1280-curl_01_002	After converting it into a mosque, Turkish President Recep Tayyip Erdogan participated on Friday in the first Muslim prayer in the former Hagia Sophia church in Istanbul.	OBJ
AFP_887-eurl_01_011	The security spokesman at the Ministry of Interior confirmed that the security authorities will continue their efforts to pursue and track down everyone connected to this criminal act who have surrendered their minds to the slogans and dictates of parties that do not want good for the country and the citizens and seek to break the bonds of brotherhood and kinship that have prevailed in our society since the era of the founder, King Abdul Aziz.	OBJ
FAT_1118-eurl_02_003	Mohammed Haji Al Khouri, Director General of the Khalifa Humanitarian Foundation, received the donation check from Awatif Abdul Rahim Al Harmoudi, General Manager of Operational Quality and Operations at Emirates Islamic.	OBJ
MIS_1585-eurl_02_015	Hezbollah is considered a major player and the strongest political party in Lebanon, and the issue of its disarmament has been a controversial topic among the political forces.	SUBJ
MIS_6-eurl_03_003	TiVo received great praise from various Arab and international media outlets, especially in light of the keenness of those in charge of it from the Al-Ittihad fans to communicate it in more than one international language so that it resonates to the largest possible segment around the world.	OBJ
MIS_774-curl_02_006	Citizens in Japan resorted to working from home in light of the complete closure. After schools were closed and many businesses closed.	OBJ
AFP_587-curl_03_010	This morning's photo of the Ruiso Tunnel in Algiers.	OBJ
AFP_588-eurl_01_002	Major General Tariq Hassouna, Director of Gharbia Security, received a notification from Major General Al-Saeed Shukri, Director of Criminal Investigation, that a beggar had been arrested after sleeping in the middle of the highway in Zefta. 500 pounds were found in his possession, and legal measures were taken against him.	OBJ
AFP_696-eurl_03_023	Abu Naji proudly confirms that the publishing house has been able to distribute more than 1.6 million copies of the Qur’an in German in Germany alone since 2011, and was funded by donations.	OBJ
MIS_702-curl_06_006	It may be dangerous to existence as a whole.	SUBJ
MIS_702-curl_02_015	The most common one today is human-caused warming, that is, greenhouse gas emissions.”	OBJ
MIS_2120-curl_04_013	It is suspected that Israel responded two weeks later by launching a cyber attack on an Iranian port.	OBJ
FAT_1062-eurl_02_001	“Dr. Hala Zayed, Minister of Health and Population, presented developments on the use of convalescent plasma to treat critical and high-risk cases of Covid-19 patients at the weekly Cabinet meeting today, headed by Dr. Mostafa Madbouly, Prime Minister.”	OBJ
FAT_1352-curl_03_001	A massive fire broke out in a heavy truck with a trailer on the regional ring road in 10th of Ramadan, Sharkia Governorate.	OBJ
MIS_2585-eurl_01_011	- When watching the emergency procedures show, pay close attention and ask the crew members or flight attendants if there is anything unclear, and ask them about the location of the emergency exit closest to your chair.	OBJ
FAT_1131-eurl_04_005	The head of the Petroleum Pipeline Company continued that vehicles from the petroleum sector, civil protection and armed forces carried out firefighting, control and cooling operations, pointing out that they are now in the final stages of cooling, adding that as soon as permission is obtained from the authorities, the line will be repaired.	OBJ
MIS_1466-eurl_04_009	On the third day, they stormed the house again, arrested my husband, took him for investigation, and handed him a permanent deportation order from the city of Jerusalem.	OBJ
FAT_108-eurl_02_003	Water, electricity, and telephone lines were cut off, and hundreds of thousands of residents were affected. Eyewitnesses say that people are walking in the streets wandering, some of them in a state of shock and others crying as a result of the destruction of their homes.	OBJ
MIS_403-curl_07_003	He appealed to the people to report those coming from outside Syria through illegal crossings into the governorate, to conduct the necessary checks in order to ensure their safety and the safety of all citizens.	OBJ
MIS_973-curl_02_008	Trump campaign spokesman Tim Murtaugh said, “The inverted red triangle is a symbol used by Antifa, so it was present in an ad about Antifa, the movement that Trump is seeking to designate on terrorism lists.”	OBJ
MIS_774-curl_02_011	The subsidies will include half the cost of the plane ticket, in addition to a night in the hotel and entry fees to tourist sites.	OBJ
MIS_1869-curl_06_062	Broast, how are you? Birzeit: Azka Broast, you are welcome, country. Try us once and you will visit us every time.	OBJ
MIS_561-curl_02_007	While Iran ranked 173.	OBJ
AFP_696-eurl_03_026	There are no relations between all Salafis and the “Iqraa” publishing house.	OBJ
MIS_560-curl_04_014	Miracles are spoken about by international and regional institutes.	SUBJ
MIS_876-curl_02_001	The photo taken by an American journalist from the New York Times called Michael Molner with a long-range camera of Obama leaving the plane and circulated by the media caused great controversy among those interested after the focus was on the book that was in the hand of the American president.	OBJ
AFP_427-curl_02_020	“It sends a message to the world calling on it not to give in to fear.”	OBJ
MIS_641-curl_09_001	“Dr. Mahmoud Al-Jarayhi, Director of the Fever Hospital in Port Said, who specializes in examining cases suspected of being infected with the new Corona virus, sent a message to the citizens of Port Said, regarding the necessity of being at home and going out only when necessary, and taking precautionary and preventive measures, but through a sarcastic story that he reviewed on his page on “Facebook.” , titled “Stay home, Daniel, do me a favor.”	OBJ
MIS_876-curl_02_005	The author's name is Fareed Rafiq Zakaria, son of Fatima Zakaria, and he is a Muslim man from India who works as an editor at Newsweek. One website says that the book is a Muslim vision of the post-American world.	OBJ
AFP_345-eurl_01_013	The minister explained that “5 million masks were initially sold out within an hour and a half due to excessive acquisition of them for the purpose of storing them, but the pace of purchase became more rational when citizens noticed that they were sufficiently available.”	OBJ
FAT_1074-eurl_03_001	“One of the anonymous pages on the social networking site “Facebook” took advantage of the “Youm 7” logo to publish false and fabricated news about Dr. Ali Abdel-Al, Speaker of the House of Representatives, which has no basis in truth, as it published an alleged picture of the Speaker of Parliament. She claimed that “Egypt would have been on its way to discovering a cure for the Corona virus had it not been for the Corona crisis.”	OBJ
AFP_556-eurl_01_007	The Grand Imam arrives in Kazakhstan at the beginning of his foreign tour	OBJ
MIS_239-curl_04_028	“The infected person is currently undergoing quarantine in a hospital in Casablanca (north), where she will be cared for in accordance with approved health procedures,” according to the statement.	OBJ
MIS_1027-eurl_01_038	■ Are there decisions that the Security Council might issue that guarantee not affecting Egypt’s water share in the Nile River?	SUBJ
MIS_855-eurl_01_037	It is noteworthy that what happened in the crisis, in terms of exploitation of electronic flies and cyber penetrations behind which the crisis countries were behind, found its place on the front pages of the international media, as it overlapped with a number of political files in those countries.	SUBJ
MIS_2043-eurl_02_020	The French rejection of the draft unified constitution dashed the hopes of politicians to create a Europe that speaks with one voice and has a strong presence on the international scene.	OBJ
MIS_1046-curl_02_005	Libyan sources pointed to efforts led by the United States of America and a number of countries concerned with stability in Libya to resume oil production in exchange for dissolving the armed militias, applying the principle of transparency to all Libyan state expenditures, and limiting the role of the Governor of the Central Bank of Libya in Tripoli - whose term has legally expired - Al-Siddiq Al-Kabir.	OBJ
MIS_239-curl_04_011	Four cases of Coronavirus in a Beit Jala hotel.	OBJ
FAT_471-eurl_05_001	Dr. Sami Al-Khaimi and Major General Bahjat Suleiman are ambassadors for Assad in a fierce verbal war.	SUBJ
AFP_907-eurl_01_004	Chinese state television reported that officials conducted “anal swabs” on citizens of the country who had confirmed cases of coronavirus infection in Beijing last week, and according to Chinese television statements, those infected in designated quarantine facilities underwent the same tests.	OBJ
AFP_916-eurl_01_001	President Abdel Fattah El-Sisi honored exemplary mothers nationwide in the Egyptian Women’s Celebration.	OBJ
MIS_855-eurl_01_041	Efforts remain ongoing, and if there is anything new in the matter, it will be announced at the appropriate time.	OBJ
MIS_561-curl_03_002	Belarus and Brunei ranked first behind Turkey, while Rwanda and Uzbekistan ranked next to Turkey.	OBJ
MIS_561-curl_01_005	“Some governments are exploiting the Corona crisis in order to impose measures that make journalistic work difficult, at a time when it is impossible for protests or objection to them to occur due to everyone’s preoccupation with the pandemic, as “the pandemic is an opportunity for the worst-rated countries in the classification to apply the shock doctrine developed by Naomi Klein.” Explaining, “It takes advantage of the public’s astonishment and weak mobilization to impose measures that are impossible to adopt in normal times,” according to Deloire.	OBJ
AFP_973-eurl_03_007	These three parties, which recently united in Andalusia (south), and polls indicate that they can form a majority to rule the country, are considering Sanchez's dialogue with Catalan separatist leaders.	OBJ
FAT_1414-eurl_03_012	While the president was concluding his remarks, a different kind of drama was taking place inside the Capitol building itself, as the Senate and House of Representatives were preparing to hold a session to certify the election results in each state individually.	OBJ
MIS_1157-eurl_04_040	Torturing a male or female prisoner is not limited to the interrogation period, but rather its various methods haunt the prisoners for the duration of their detention	OBJ
FAT_489-curl_02_003	Idais added that the occupation works on a daily basis to control Islamic religious places in a deliberate and systematic manner, which through repetition leads to consecrating them and treating them as a fait accompli that cannot be changed, adding that the Palestinian people, with their awareness and steadfastness, will thwart all decisions, practices and violations of this occupation and will respond to all its attacks on sanctities and endowments. And the capabilities of the Palestinian people in their homeland by all means that preserve their rights.	OBJ
AFP_29-eurl_02_016	Environmental NGOs sue Paris	SUBJ
MIS_2664-eurl_01_003	This beggar, woman, does not need such advice or goodness, because by doing so you will cut off the crops and the offspring, and she is no less aware of her interests and future plans than you are. She reads what is coming and what is coming by remote sensing. This group of lions are the ones who will carry on their shoulders weapons, canoes, sandbars, swords, and desert sledges. To fight with the Dawahis or Ghabrawi clans, they go around without reason or rationality, and some of them arm themselves with scalpels at traffic lights, and if you shake your hand with his hand with a few pennies, he will shake your car with the deepest love and scratches, and a few of them will enter university at an average rate and then graduate to the street to find a secure job. The basics include cigarettes and gel. Some of them try to travel, without a passport, to foreign countries, and either arrive or drown or bury their bodies in the dirt.	SUBJ
MIS_561-curl_02_016	“As for North Africa, Algeria ranked 146th on the organization’s list, which considered that the arrests and intimidation of journalists are increasing with the growth of the “protest movement,” a movement that has not stopped despite the spread of the Corona virus.”	OBJ
AFP_376-eurl_05_015	The area where the two avalanches occurred is in a mountainous region in the far east of Turkey, which is difficult to reach and experiences harsh weather in the winter.	OBJ
AFP_376-eurl_05_019	Some villages in the east and northeast of the country are cut off from the rest of the world every winter due to heavy snowfall.	OBJ
MIS_239-curl_04_006	The Ministry of Health issued decisions to confront the virus and prevent its spread in the West Bank, most notably activating the emergency plan in Bethlehem and Jericho in the Jordan Valley, and closing all educational institutions and training centers for 14 days.	OBJ
AFP_376-eurl_05_002	An avalanche occurred in Van province, eastern Turkey, on Wednesday, at a site where civilians and members of the military police were present, as part of efforts to rescue victims of an avalanche that occurred the previous day in the same place, in which five people were killed.	OBJ
MIS_505-curl_02_009	The Austrian fighter is considered one of the most prominent faces in the sport of mixed martial arts, and he became famous in 2019 for attacking the referee in his fight against his compatriot, “Nihad Nesovovic.”	OBJ
MIS_91-curl_03_001	“The authorities in Beijing announced today, Sunday, the discovery of an effective drug to treat the Corona virus spreading in the country, which has killed 56 people and caused more than a thousand infections.”	OBJ
MIS_855-eurl_01_025	Here we affirm that we are continuing the approach and directives of His Highness Sheikh Tamim bin Hamad Al Thani, which have always emphasized authentic Islamic and Arab values ​​and principles and not being limited to the issues of the homeland, but rather supporting all just Arab, Islamic and humanitarian causes.	SUBJ
MIS_701-curl_03_003	The post below, by Shirazi, criticizes the gender segregation policy followed by the state in Iran, and the appearance of his wife without a hijab represents a challenge to the conservative policy in Iran, where the hijab is mandatory.	SUBJ
MIS_536-eurl_02_012	Dangerous timing for the LGBT community. Buslami saw that the timing of publishing this news is dangerous and leaves a negative impact on the LGBT community, while many of them suffer violence and violations under home quarantine, against the backdrop of preventive measures to limit the spread of the Corona virus.	OBJ
MIS_2120-curl_04_014	Israel and Iran have been waging secret battles for years, including major cyber attacks.	OBJ
MIS_1696-curl_08_006	It is true that it encourages freedom of opinion and expression when it is consistent with its policies; But it does not tolerate or accept any opinion that detracts from its dignity or from one of its symbols. Rather, it kills and arms any opinion-maker or speech-maker who stands in its way or tries to expose its face, and what it did towards the artist Laila Al-Attar is the best evidence of its encouragement of talents and opinion-makers, as it bombed... Her home in Baghdad, Al-Mansour neighborhood, was hit by a missile that claimed her life along with her family on June 27, 1993 AD. You can imagine.	SUBJ
MIS_446-eurl_01_012	It is certain that we can contain the Corona virus more quickly if all French people adhere to the measures imposed by the government, especially with regard to quarantine procedures and not leaving the house unless absolutely necessary. It will also spare our country more deaths and there will not be a larger number of patients in the recovery departments.	OBJ
FAT_1062-eurl_01_006	The FDA warned against using anticoagulants without clear medical reasons or medical supervision, as this may lead to exposure to many risks, including the risk of severe bleeding, which is represented by (the presence of blood in the urine or stool, the appearance of what looks like bruises, and prolonged nosebleeds). Lasts for more than 10 minutes, bleeding gums, vomiting or coughing up blood, sudden, severe back pain, shortness of breath or chest pain, heavy bleeding during menstruation.	OBJ
AFP_696-eurl_03_017	“While they are calling us and the brothers who are helping us in the project offensive terms, and accusing us of being terrorists, we are trying to bring Islam closer to the people through what is called “preaching.”	SUBJ
MIS_702-curl_03_006	NASA scientists fear it is a repeat of the Dalton Minimum, which occurred between 1790 and 1830, which led to periods of extreme cold, crop loss, famine and powerful volcanic eruptions.	OBJ
MIS_617-eurl_04_018	Not all of us have been secretly behaving like this for a long time, but this is the look that caught your eye.	SUBJ
MIS_213-curl_04_005	After completing his secondary education, he joined the Military College in Egypt and obtained a bachelor’s degree in military sciences in 1948. He then obtained a bachelor’s degree in aviation sciences in 1950 from the Air College.	OBJ
AFP_907-eurl_03_001	Dr. Ahmed Shawqi, a member of the Scientific Committee to Combat the Coronavirus, said that the genetic swab is confirmed evidence of infection with the Coronavirus, pointing out that they are still treating the Coronavirus as a respiratory virus even though it has infected the digestive system in a large number of cases.	OBJ
MIS_887-curl_03_004	Private investigator Syed Roy indicated that he did not expect the investigations to last 15 years and said, “It all started in 2001 when two men who did not know each other asked me to reveal each other’s biological father...”	OBJ
AFP_29-eurl_02_012	It is believed that the fire broke out on the deck of the ship, which was loaded with cars, before spreading to a container, but the cause is not known, according to Losier.	OBJ
MIS_855-eurl_01_039	On the other hand, these cyber attacks are a trick of the weak when they are unable to use logic or dialogue etiquette.	SUBJ
MIS_2801-curl_01_004	According to US agency data, some countries are making much faster progress than others, using 75% coverage with a two-dose vaccine as a goal.	OBJ
MIS_213-curl_04_001	The BBC described former President Hosni Mubarak as a military leader who chose to side with “international peace,” noting that his death marks the end of a long life full of important historical milestones.	SUBJ
AFP_614-eurl_08_018	Since last week, the Egyptian authorities have intensified their security deployment in Cairo and other cities.	OBJ
AFP_884-eurl_01_003	The first Friday prayer in the time of Corona.	OBJ
MIS_2338-eurl_02_001	The violins stop playing except for one player who plays a sad melody, accompanied from behind by the sound of a sad cello, as if it increases the wailing of that single violin.	SUBJ
AFP_696-eurl_03_028	Comment from the editorial board: In the previous version of the topic, there was confusion suggesting that Mr. Ahmed Mansour is one of the Salafists.	OBJ
FAT_1062-eurl_03_004	The statement stated that the national blood transfusion centers communicate with the recovered people within their governorate through psychosocial support teams, and appointments are made for the recovered people to receive them in those centers and withdraw plasma. The numbers and addresses of these centers can also be known through the official website of the Ministry of Health and Population.	OBJ
MIS_2168-eurl_03_005	Young Hosni was then drawn to his talent in singing, and began his artistic life by performing parties, weddings, and evenings, until his star shone in the sky of the emotional Rai song, and he never gave up on the emotion in the songs he performed, despite the killing, fear, and hatred that terrorist groups tried to spread during that period. The difficult one.	SUBJ
MIS_480-curl_03_006	Earlier in the week, Jean Rousseau, captain of the Skukuza Golf Club located inside the park, captured early morning videos and photos of lions and hyenas on the green.	OBJ
MIS_905-eurl_07_008	Crimes against humanity, which are any of the acts prohibited under the Rome Statute, if committed in an organized and systematic manner against a civilian population, such as willful killing, extermination, rape, deportation, forcible transfer, apartheid and slavery.	OBJ
MIS_641-curl_09_004	The doctor pointed out that if citizens like Daniel stay at home, we will be victorious over the opponent, who in our eyes represents the Corona virus, especially since the medical team and hospital workers are working beyond their capacity to save the lives of citizens from the dreaded virus, but citizens are confronting our efforts with recklessness, which results in positive cases of Corona.	OBJ
MIS_2361-eurl_01_012	I will not succeed in performing a role that I do not like or feel, because I do not like the technique and rely in my performance on the inner feeling and conveying what is in the heart so that it reaches the viewer more quickly.	SUBJ
MIS_652-eurl_01_018	Ben Aliya's cry is like a mother's cry	SUBJ
AFP_973-eurl_03_006	"For his part, Albert Rivera, head of the Citizenship Party, said, “We are here to say no to secession and yes to Spain,” while Vox Party leader Santiago Abascal denounced the “betrayal of an illegitimate and false government supported by the enemies of Spain,” referring to supporters of Catalan independence. """	OBJ
MIS_281-curl_07_007	It is worth noting that Tunisia announced on March 2 that it had recorded its first confirmed infection.	OBJ
MIS_299-curl_02_003	The news investigation team at Agence France-Presse contacted the official spokesman for the CR7 Group, who confirmed that the news was inaccurate, adding that we had not received any instructions in this regard, and we operate as a hotel and will remain a hotel...	OBJ
MIS_446-eurl_01_040	After emerging from this unprecedented crisis, our country, France, and the European Union countries must draw lessons, so that a set of mistakes are not repeated again.	OBJ
AFP_887-eurl_01_016	The Turkish Brigade said that the Ministry of Interior publishes the names and photos of those wanted, and they are: Ibrahim Youssef Ibrahim Al-Wazzan, Ahmed Salem Ahmed Al-Haleef Al-Ghamdi, Bassam Mansour Hamad Al-Yahya, Hassan Faraj Muhammad Al-Qarqah Al-Qahtani, Hassan Hamid Hassan Al-Weibari Al-Shammari, Saeed Falah Ayed Al Rashid, and Sultan Abdul Aziz. Ali Al-Husseini Al-Shehri, Sweilem Al-Hadi Sweilem Al-Qaqi’i Al-Ruwaili, Abdul Rahman Muhammad Ali Al-Bakri Al-Shehri, Abdul Rahim Abdullah Omar Al-Mutlaq, Abdul Hadi Mu’id Abdul Hadi Al-Masardi Al-Qahtani, Faisal Muhammad Saeed Al-Hamid Al-Zahrani, Mohsen Muhammad Mohsen Al-Osaimi Al-Otaibi, and Muhammad Suleiman Rahyan Al-Saqri Al-Anazi, Muhammad Awad Saeed Al-Fahmi Al-Zahrani, and Hisham Fahd Muhammad Al-Khudair.	OBJ
MIS_2290-curl_04_009	It also turned out that the perpetrator’s wife had previously cut off financial assistance from their son, and that the latter had conspired against his parents by filling the gun with bullets, knowing that his father had a habit of threatening to kill his mother with that empty gun. If he carried out his threat once, he would get rid of it. From his mother and father with a single blow or bullet.	OBJ
AFP_587-curl_03_012	Even mosques were not spared from this rain, as prayer halls were flooded, according to what was published by users.	OBJ
MIS_202-curl_02_009	Regarding this statistic, observers point out that the numbers contained in it do not reflect reality, as countries where death sentences are carried out should be taken into account, which indicates that the number of prisoners in some countries would have been larger if death sentences had not been carried out there.	OBJ
MIS_19-curl_03_004	This incident can also cause communication problems and network outages.	OBJ
MIS_22-curl_01_011	“This was a network of pages designed to look like local media organizations and advocacy organizations,” Agranovich said.	OBJ
AFP_973-eurl_03_002	The demonstrators raised Spanish flags and banners reading “Sanchez is enough” and gathered in Colon Square in the center of the capital, two days before the start of a historic trial on Tuesday for 12 former Catalan officials for their role in the attempt to secede this region in October 2017.	OBJ
AFP_84-eurl_08_005	It is noteworthy that municipalities and state factories in Iran are witnessing strikes by employees due to delays in their financial benefits.	OBJ
MIS_2077-eurl_03_024	These evil attacks against innocent people must stop.	SUBJ
MIS_702-curl_06_011	On April 10, 1815, the second largest volcanic eruption in 2,000 years occurred on Mount Tambora in Indonesia, killing at least 71,000 people.	OBJ
AFP_724-eurl_05_008	He also stressed that “the colonial period that followed (of the Belgian Congo from 1908-1960) also caused suffering and humiliation.”	OBJ
MIS_1093-curl_02_013	However, one must be careful not to use flashlights that have not been tested by scientists, or flashlights made at home, etc., which can severely harm the retina if used incorrectly without the supervision of a specialist doctor.	SUBJ
MIS_2338-eurl_02_039	That genius merging of popular music and diving beyond image and melody. Making Maurice Jarre truly the composer of a thousand ears.	SUBJ
AFP_696-eurl_03_001	"“On our way by taxi to Iqraa Publishing House, which distributes free Qur’anic copies of the Qur’an in Germany, the scene surrounding the institution seemed to us like part of a horror movie whose scenes were playing out in front of us. Near the meat shop, there were two crows croaking. ""Two men looked at us near a burning haystack."""	OBJ
AFP_427-curl_02_019	She added that she “dances to make people happy and make herself happy, despite the condition she is experiencing due to the virus.”	OBJ
FAT_290-eurl_02_007	The events of September 11 are the turning point	SUBJ
MIS_855-eurl_01_027	There are many reports of the National Human Rights Committee in the State of Qatar showing various violations, the most recent of which was the report that was issued recently on the third anniversary of the blockade.	OBJ
AFP_885-eurl_01_002	This initiative received a great response in the Palestinian street and social networking sites, calling on the rest of the families and young people to emulate what the young man Anas did in order to preserve the safety of everyone in the city of Umm al-Fahm, especially since the number of infections has risen again in recent days.	OBJ
MIS_366-curl_04_015	Halsa joined the Fatah Movement, stressing that women have the right to resist and stand on the front lines.	OBJ
FAT_1174-eurl_03_017	Was ammonium nitrate used in terrorist bombings?	SUBJ
MIS_1532-eurl_01_018	President Arafat's political mind and long-term vision began to move and interact...	SUBJ
MIS_1280-curl_01_011	Three imams were appointed for Hagia Sophia on Thursday, as well as five muezzins to call to prayer.	OBJ
MIS_702-curl_06_012	“The minimum also led to the so-called Year Without a Summer in 1816 – also nicknamed the “1800 inanimate objects to death.”	OBJ
MIS_239-curl_04_021	She added, “All those infected are in stable condition and are receiving the necessary care in a hospital affiliated with the Ministry, with the exception of two cases who were previously admitted to intensive care.”	OBJ
MIS_1503-curl_03_004	The newspaper added that the Barcelona president agreed with Koeman to coach Barcelona on a two-season contract, although the second season will be during the new president’s era, and in principle, terminating the coach’s contract with the Dutch Federation will not entail any financial expenses.	OBJ
FAT_1139-eurl_01_027	Did you use some tools to verify the authenticity of the news, the dates of its publication and its source, and to collect important information related to it, such as checking the elements of the image or video, such as the time, place, visible signs, sound, language used, and the general appearance of the people, in addition to checking the name of the publisher or site that published it, is it a well-known name? Or is it fake? Likewise, checking the comments may help us obtain the publisher’s information, in addition to checking the people included in the news and confirming their actual presence and positions, in addition to checking the nature of the place and its natural and climatic phenomena for the purpose of matching them with the atmosphere of the original place.	OBJ
MIS_855-eurl_01_040	Are there indications that the current year will witness a folding of the Gulf crisis file, or is it still too early to say for sure?	SUBJ
MIS_560-curl_04_013	As for someone who is upset by the series that he describes as normal, he is out of compass and weak in will.	SUBJ
AFP_696-eurl_03_016	They fear the extinction of the West and describe us as imams of hatred, while we want to save humanity from eternal torment in hell.	SUBJ
AFP_376-eurl_05_010	Dozens of paramedics were digging in the snow with shovels, searching for survivors, while a snowstorm was sweeping the area, limiting visibility and making it difficult to reach.	OBJ
AFP_376-eurl_05_014	Turkish Health Minister Fahrettin Koca warned that the toll may rise further, as it is not yet known how many people are trapped under the snow.	OBJ
